S. No.,AISHE Code,Institute Name,State Name,Management Type
193,U-0802,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM",Kerala,Central Government
194,U-1013,Indian Institute of Management Kozhikode,Kerala,Central Government
195,U-0254,"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram",Kerala,Central Government
196,U-0255,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Kerala,Central Government
197,U-0878,"Indian Institute of Technology, Palakkad",Kerala,Central Government
198,C-60553,NATIONAL HOMOEOPATHY RESEARCH INSTITUTE IN MENTAL HEALTH,Kerala,Central Government
199,U-0263,National Institute of Technology Calicut,Kerala,Central Government
200,S-21127,"NATIONAL POWER TRAINING INSTITUTE, ALAPPUZHA",Kerala,Central Government
201,U-0266,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Kerala,Central Government
202,U-1025,CENTRAL INSTITUTE OF BUDDHIST STUDIES,Ladakh,Central Government
203,U-0687,All India Institute of Medical Sciences Bhopal,Madhya Pradesh,Central Government
204,U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Madhya Pradesh,Central Government
205,U-0271,"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar",Madhya Pradesh,Central Government
206,C-58650,Footwear Design and Development Institute - Guna,Madhya Pradesh,Central Government
207,C-64662,HQ ONE SIGNAL TRAINING CENTRE,Madhya Pradesh,Central Government
208,U-1334,"INDIAN INSTITUTE OF FOREST MANAGEMENT, BHOPAL",Madhya Pradesh,Central Government
209,U-1193,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY,Madhya Pradesh,Central Government
210,U-1012,Indian Institute of Management Indore,Madhya Pradesh,Central Government
211,U-0272,Indian Institute of Science Education and Research Bhopal,Madhya Pradesh,Central Government
212,U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Central Government
213,U-0290,"Indira Gandhi National Tribal University, Amarkantak",Madhya Pradesh,Central Government
214,U-0277,"Lakshmibai National Institute of Physical Education, Gwalior",Madhya Pradesh,Central Government
215,U-0284,"Maulana Azad National Institute of Technology, Bhopal",Madhya Pradesh,Central Government
216,C-29758,"Military College of Telecommunication Engineering (MCTE), Mhow",Madhya Pradesh,Central Government
217,U-1094,NATIONAL INSTITUTE OF DESIGN (NID) MADHYA PRADESH,Madhya Pradesh,Central Government
218,U-1333,"NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING & RESEARCH, BHOPAL",Madhya Pradesh,Central Government
219,U-0286,"Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur",Madhya Pradesh,Central Government
220,C-39256,"Raja Ramanna Centre for Advanced Technology (RRCAT),Indore",Madhya Pradesh,Central Government
221,U-0626,School of Planning and Architecture Bhopal,Madhya Pradesh,Central Government
222,C-13967,"Ali Yavar Jung National Institute of the Hearing  Handicapped, Mumbai",Maharashtra,Central Government
223,U-1051,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NAGPUR,Maharashtra,Central Government
224,C-13849,"All India Institute of Physical Medicine & Rehabilitation, Haji Ali Park, K. Khadye Marg, Mahalaxmi, Mumbai 422 004",Maharashtra,Central Government
225,C-13844,Armed Force Medical College,Maharashtra,Central Government
226,C-39260,"Bhabha Atomic Research Centre (BARC), Mumbai",Maharashtra,Central Government
227,U-0293,"Central Institute of Fisheries Education, Fishries University",Maharashtra,Central Government
228,C-8316,College of Military Engineering,Maharashtra,Central Government
229,C-13845,"College of Nursing, INHS Asvinis College of Nursing (B.Sc.) INHS Asvini, Colaba, Mumbai",Maharashtra,Central Government
230,U-0297,Defence Institute of Advanced Technology,Maharashtra,Central Government
231,C-18279,"Dhananjayrao Gadgil Sahakari Prabandh Sansthan, New nandanvan",Maharashtra,Central Government
232,C-40057,Homi Bhabha Centre for Science Education,Maharashtra,Central Government
233,U-0304,Homi Bhabha National Institute,Maharashtra,Central Government
234,U-0841,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR",Maharashtra,Central Government
235,U-0804,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE",Maharashtra,Central Government
236,U-1283,Indian Institute of Management Mumbai,Maharashtra,Central Government
237,U-1018,Indian Institute of Management Nagpur,Maharashtra,Central Government
238,U-0305,Indian Institute of Science Education and Research Pune,Maharashtra,Central Government
239,U-0306,Indian Institute of Technology Bombay,Maharashtra,Central Government
240,C-61033,"INDIAN MARITIME UNIVERSITY, MUMBAI PORT ",Maharashtra,Central Government
241,C-60302,Indian Naval Ship Hamla,Maharashtra,Central Government
242,S-15087,Institute for Design of Electrical Measuring Instruments,Maharashtra,Central Government
243,C-34195,Institute for research in reproduction (indian council of medical research),Maharashtra,Central Government
244,C-60004,"INSTITUTE OF ENGINEERING AND TECHNOLOGY, NDA",Maharashtra,Central Government
245,U-0309,"International Institute for Population Sciences, Mumbai",Maharashtra,Central Government
246,U-0314,"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha",Maharashtra,Central Government
247,C-18673,"National Fire Service College, Civil Lines",Maharashtra,Central Government
248,C-33642,"National Institute for the Mentally Handicapped Fkat Bi, B-102 Vasundhara CHS Plot No 13-14  Sector 8 Kharghar Navi Mumbai 410 210",Maharashtra,Central Government
249,C-47477,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, MUMBAI",Maharashtra,Central Government
250,U-0330,Tata Institute of Fundamental Research,Maharashtra,Central Government
251,C-39257,"Tata Memorial Centre (TMC),Mumbai",Maharashtra,Central Government
252,U-0334,Visvesvaraya National Institute of Technology Nagpur,Maharashtra,Central Government
253,U-0336,Central Agricultural University,Manipur,Central Government
254,C-48586,"COLLEGE OF NURSING, RIMS",Manipur,Central Government
255,C-48585,"DENTAL COLLEGE, RIMS",Manipur,Central Government
256,U-0770,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI",Manipur,Central Government
257,U-0337,"Manipur University, Imphal",Manipur,Central Government
258,U-0613,National Institute of Technology Manipur,Manipur,Central Government
259,U-1026,NATIONAL SPORTS UNIVERSITY,Manipur,Central Government
260,C-9435,Regional Institute of Medical Sciences,Manipur,Central Government
261,C-26832,"College of Post Graduate Studies, Umiam",Meghalaya,Central Government
262,U-1011,Indian Institute of Management Shillong,Meghalaya,Central Government
263,S-17784,INSTITUTE OF HOTEL MANAGEMENT,Meghalaya,Central Government
264,C-47481,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, SHILLONG",Meghalaya,Central Government
265,U-0619,National Institute of Technology Meghalaya,Meghalaya,Central Government
266,C-65041,NORTH EAST REGIONAL INSTITUTE OF EDUCATION,Meghalaya,Central Government
267,U-0341,"North Eastern Hill University, Shillong",Meghalaya,Central Government
268,S-16707,North Eastern Institute of Ayurveda and Homoeopathy,Meghalaya,Central Government
269,U-0345,"Mizoram University, Aizwal",Mizoram,Central Government
270,U-0617,National Institute of Technology Mizoram,Mizoram,Central Government
271,C-8308,Pachhunga University College,Mizoram,Central Government
272,C-8298,Regional Institute of Paramedical and Nursing Sciences,Mizoram,Central Government
273,U-0347,Nagaland University,Nagaland,Central Government
274,U-0618,National Institute of Technology Nagaland,Nagaland,Central Government
275,U-0688,All India Institute of Medical Sciences Bhubaneswar,Odisha,Central Government
276,C-39370,"Army A.D. College, Gopalpur",Odisha,Central Government
277,U-0352,"Central University of Orissa, Koraput",Odisha,Central Government
278,S-21028,ESTUARINE BIOLOGY REGIONAL CENTRE ZOOLOGICAL SURVEY OF INDIA,Odisha,Central Government
279,U-1002,Indian Institute of Management Sambalpur,Odisha,Central Government
280,U-0828,"Indian Institute of Science Education & Research (IISER), Berhampur",Odisha,Central Government
281,U-0355,"Indian Institute of Technology, Bhubaneshwar",Odisha,Central Government
282,C-39258,"Institute of Physics (IOP),Bhubaneswar",Odisha,Central Government
283,C-47469,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, BHUBANESWAR",Odisha,Central Government
284,C-45304,NATIONAL INSTITUTE OF SCIENCE EDUCATION AND RESEARCH,Odisha,Central Government
285,U-0357,National Institute of Technology Rourkela,Odisha,Central Government
286,U-0368,Jawaharlal Institute of Post Graduate Medical Education and Research,Puducherry,Central Government
287,U-0621,National Institute of Technology Puducherry,Puducherry,Central Government
288,U-0369,"Pondicherry Univeristy, Puducherry",Puducherry,Central Government
289,C-6559,Vector Control Research Centre (I.C.M.R.),Puducherry,Central Government
290,U-1114,ALL INDIA INSTITUTE OF MEDICAL SCIENCE,Punjab,Central Government
291,S-14536,"CENTRAL INSTITUTE OF PLASTICS ENGINEERING & TECHNOLOGY (CIPET), AMRITSAR",Punjab,Central Government
292,S-2421,"CENTRAL TOOL ROOM, LUDHIANA",Punjab,Central Government
293,U-0372,"Central University of Punjab, Bathhinda",Punjab,Central Government
294,C-27840,"Centre for Development of Advanced Computing (C-DAC), Mohali",Punjab,Central Government
295,U-0374,"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar",Punjab,Central Government
296,C-69465,HOMI BHABHA CANCER HOSPITAL,Punjab,Central Government
297,U-1001,Indian Institute of Management Amritsar,Punjab,Central Government
298,U-0377,Indian Institute of Science Education and Research Mohali,Punjab,Central Government
299,U-0378,Indian Institute of Technology Ropar,Punjab,Central Government
300,C-22239,"N.I.S., Patiala",Punjab,Central Government
301,C-70709,"NATIONAL  INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY,NIELIT",Punjab,Central Government
302,U-0380,National Institute of Pharmaceutical Education and Research Mohali,Punjab,Central Government
