Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-1235,ASIAN INTERNATIONAL UNIVERSITY,Manipur,Imphal West,www.aiu.edu.in,-,Urban
U-0049,"Assam Don Bosco University, Guwahati",Assam,Kamrup,www.dbuniversity.ac.in,2008,Urban
U-0683,ASSAM DOWN TOWN UNIVERSITY,Assam,Kamrup Metro,www.adtu.in,2010,Rural
U-1406,Atharva University,Maharashtra,Mumbai Suburban,atharvauniversity.org,-,Urban
U-1145,ATLAS SKILLTECH UNIVERSITY,Maharashtra,Mumbai,https://atlasuniversity.edu.in/,2021,Urban
U-0967,ATMIYA UNIVERSITY,Gujarat,Rajkot,www.atmiyauni.ac.in,2018,Urban
U-1328,Atria University,Karnataka,Bengaluru Urban,https://www.atriauniversity.edu.in/,-,Urban
U-1345,Auniati University,Assam,Jorhat,https://auniv.ac.in/,-,Rural
U-0794,AURO UNIVERSITY OF HOSPITALITY AND MANAGEMENT,Gujarat,Surat,www.aurouniversity.edu.in,2011,Urban
U-0959,AVANTIKA UNIVERSITY,Madhya Pradesh,Ujjain,www.avantikauniversity.edu.in,2017,Rural
U-1285,AZIM PREMJI UNIVERSITY,Madhya Pradesh,Bhopal,https://azimpremjiuniversity.edu.in/bhopal,-,Rural
U-0601,"Azim Premji University, Bangalore",Karnataka,Bengaluru Urban,https://azimpremjiuniversity.edu.in/,2010,Urban
U-0666,BABA MASTNATH UNIVERSITY,Haryana,Rohtak,www.bmu.ac.in,2012,Rural
U-0499,"Babu Banarsi Das University, Lucknow",Uttar Pradesh,Lucknow,www.bbdu.ac.in,2010,Urban
U-1295,BABU DINESH SINGH UNIVERSITY,Jharkhand,Garhwa,https://bdsu.ac.in,-,Rural
U-0177,"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan",Himachal Pradesh,Solan,www.baddiuniv.ac.in,2002,Rural
U-0597,"Bahra University, Solan",Himachal Pradesh,Solan,www.bahrauniversity.edu.in,2010,Rural
U-0897,"Bareilly International University, Bareilly",Uttar Pradesh,Bareilly,www.biu.edu.in,2016,Urban
U-0890,"Bennett University, Greater Noida",Uttar Pradesh,Gautam Buddha Nagar,www.bennett.edu.in,2016,Urban
U-0943,"Bhabha University, Bhopal",Madhya Pradesh,Bhopal,www.bhabhauniversity.edu.in,2018,Urban
U-1074,BHAGWAN MAHAVIR UNIVERSITY,Gujarat,Surat,www.bmusurat.ac.in,2004,Urban
U-0929,Bhagwant Global University,Uttarakhand,Pauri Garhwal,www.bgukotdwar.ac.in,2016,Rural
U-0390,"Bhagwant University,  Ajmer",Rajasthan,Ajmer,www.bhagwantuniversity.com,2008,Rural
U-1065,BHAIKAKA UNIVERSITY,Gujarat,Anand,http://www.bhaikakauniv.edu.in/,2019,Rural
